id,ordem,sequencia_cadastro,tipo,endereco,bairro,metragem_m2,lat,lng,lote,status,history,polygon,scheduled_date,proxima_previsao,ultima_rocagem,manual_schedule,days_to_complete,servico,registrado_por,data_registro
16,,,Roçagem,icós,são caetano,438.56,-23.3014941,-51.1550653,1,Pendente,"[]",,,2025-11-06,,false,1,rocagem,,
17,,,Roçagem,tembés,portuguesa,348,-23.3023949,-51.154633,1,Pendente,"[]",,,2025-11-06,,false,1,rocagem,,
18,,,Roçagem,tiete c john kennedy,recreio,1915.41,-23.2953414,-51.1589755,1,Pendente,"[]",,,2025-11-06,,false,1,rocagem,,
635,,,Roçagem,rua gustavo barroso c/ av. tiradentes,shangri - la a,6371.05,-23.3013172,-51.1774531,2,Pendente,"[]",,,2025-11-06,,false,1,rocagem,,
19,,,Roçagem,tietê c duque de caxias 2 praças,recreio,2457,-23.3272806,-51.1540579,1,Pendente,"[]",,,2025-11-06,,false,1,rocagem,,
637,,,Roçagem,porto alegre em frente ao nº 120,vila agari,170.01,-30.0368176,-51.2089887,2,Pendente,"[]",,,2025-11-06,,false,1,rocagem,,
641,,,Roçagem,trav. farroupilha / rua castro alves,shangri - la a,6358.13,-23.2990914,-51.1860962,2,Pendente,"[]",,,2025-11-06,,false,1,rocagem,,
657,,,Roçagem,mercurio c/ marte / capricornio,do sol,1825.27,-23.2740063,-51.1861348,2,Pendente,"[]",,,2025-11-06,,false,1,rocagem,,
664,,,Roçagem,"rua sergio cardoso quadra 18a lotes 08, 09 e 10",são francisco de assis,1303.16,-23.3197305,-51.1662008,2,Pendente,"[]",,,2025-11-06,,false,1,rocagem,,
676,,,Roçagem,serra dos pirineus c/ serra do monte carlo,bandeirantes,3428.35,-23.2974051,-51.2014976,2,Pendente,"[]",,,2025-11-06,,false,1,rocagem,,
643,,,Roçagem,leste oeste c/ luiz delfino,shangri - la a,2246.88,-23.2977069,-51.1897832,2,Pendente,"[]",,,2025-11-06,,false,1,rocagem,,
606,,,Roçagem,av. higienópolis c/ rua valparaiso / rua santiago,guanabara,1869.2,-23.3105478,-51.1658269,2,Pendente,"[]",,,2025-11-06,,false,1,rocagem,,
616,,,Roçagem,rua guarujá c/ rua flórida,jd. flórida,140.76,-23.3276614,-51.1519421,2,Pendente,"[]",,,2025-11-06,,false,1,rocagem,,
624,,,Roçagem,rua urbano duarte c/ rua libero badaro,nova londres,5300.47,-23.3320085,-51.1557352,2,Pendente,"[]",,,2025-11-06,,false,1,rocagem,,
13,,,Roçagem,jorge casoni c/ camacan e alexandre albertoni (2 areas),kase,722.44,-23.2949574,-51.1471296,1,Pendente,"[]",,,2025-12-18,2025-11-03,false,1,rocagem,,
272,,,Roçagem,john lennon creche,vivi xavier,947.65,-23.25778856617822,-51.170110702514656,1,Concluído,"[{""date"":""2025-10-03"",""type"":""completed"",""status"":""Concluído"",""observation"":""Roçagem concluída""}]",,,2025-11-17,2025-10-03,false,1,rocagem,,2025-11-06T12:07:31.259Z
7,,,Roçagem,rua carijós c araruana,paraná,2332.83,-23.304423652549655,-51.244010925292976,1,Pendente,"[]",,,2025-12-18,2025-11-03,false,1,rocagem,,
10,,,Roçagem,av jorge casoni (alça lateral esquina rua guaranis ),casoni,452.16,-23.3028976,-51.1494082,1,Pendente,"[]",,,2025-12-18,2025-11-03,false,1,rocagem,,
27,,,Roçagem,chefe newton,jd. progresso,236.96,-23.291337517179304,-51.15234375,1,Pendente,"[]",,,2025-12-18,2025-11-03,false,1,rocagem,,
8,,,Roçagem,jorge casoni c/ guaicurus,matarazzo,244.25,-23.30233468715523,-51.15164637565613,1,Pendente,"[]",,,2025-12-18,2025-11-03,false,1,rocagem,,
589,,,Roçagem,rua mato grosso c/ av. arc. dom geraldo fernandes - pai,centro,1973.45,-23.3005648,-51.2241743,2,Concluído,"[{""date"":""2025-11-12"",""type"":""completed"",""status"":""Concluído"",""observation"":""Roçagem concluída""}]",,,2025-12-27,2025-11-12,false,1,rocagem,,2025-11-15T13:16:22.962Z
14,,,Roçagem,jorge casoni (da casoni até saturnino de brito e rua sampaio vidal),casoni,908.8,-23.29849,-51.145814,1,Pendente,"[]",,,2025-12-18,2025-11-03,false,1,rocagem,,
25,,,Roçagem,coelho neto (do campo de futebol até alça de acesso br-369),progresso,26568.99,-23.29145577115256,-51.15118503570557,1,Pendente,"[]",,,2025-12-18,2025-11-03,false,1,rocagem,,
21,,,Roçagem,irma bona dose c angelo vicentini,santa monica,3870.42,-23.2869407,-51.1585812,1,Pendente,"[]",,,2025-12-18,2025-11-03,false,1,rocagem,,
22,,,Roçagem,r. angelo vicentini (da maria i. v. teodoro até av. lucia h.g. viana),santa monica,7195.78,-23.2865857,-51.1586495,1,Pendente,"[]",,,2025-12-18,2025-11-03,false,1,rocagem,,
549,,,Roçagem,av da liberdade,ruy v. carnascialli,9877.44,-23.2764007,-51.1659238,1,Concluído,"[{""date"":""2025-10-14"",""type"":""completed"",""status"":""Concluído"",""observation"":""Roçagem concluída""}]",,,2025-11-28,2025-10-14,false,1,rocagem,,2025-11-06T14:31:28.031Z
24,,,Roçagem,zacaria de goes (da av. lucia h.g.viana até nilo cairo),jd. paulista,2552.8,-23.2904896,-51.1587728,1,Pendente,"[]",,,2025-12-18,2025-11-03,false,1,rocagem,,
30,,,Roçagem,mario novaes c jose mauricio da silva,portal itamaraca,5276.97,-23.2857056,-51.1503428,1,Pendente,"[]",,,2025-12-18,2025-11-03,false,1,rocagem,,
15,,,Roçagem,vital brasil c oswaldo cruz,kase,2434.69,-23.2908879,-51.2320966,1,Pendente,"[]",,,2025-12-18,2025-11-03,false,1,rocagem,,
26,,,Roçagem,carlos rottman,jd. progresso,229.61,-23.2921294,-51.1532831,1,Pendente,"[]",,,2025-12-18,2025-11-03,false,1,rocagem,,
28,,,Roçagem,lúcia h. gonçalves viana c/ visconde de guarapuava,jd. paschoal cantoni,703.48,-23.291495189120294,-51.1550259590149,1,Concluído,"[{""date"":""2025-11-19"",""type"":""completed"",""status"":""Concluído"",""observation"":""Roçagem concluída""}]",,,2026-01-03,2025-11-19,false,1,rocagem,,2025-11-19T12:11:14.865Z
57,,,Roçagem,gilberto nápoli e jair pereira batista,michael licha,603.8,-23.27864,-51.1592592,1,Pendente,"[]",,,2025-12-18,2025-11-03,false,1,rocagem,,
12,,,Roçagem,rua tapuias c/ oswaldo cruz,casoni,500,-23.277934719585332,-51.14582061767579,1,Pendente,"[]",,,2025-12-18,2025-11-03,false,1,rocagem,,
11,,,Roçagem,rua tupiniquins (duas laterais),casoni,150,-23.3028976,-51.1494082,1,Pendente,"[]",,,2025-12-18,2025-11-03,false,1,rocagem,,
592,,,Roçagem,rua sen. souza naves c/ rua piaui (concha),centro,722.72,-23.346984100466592,-51.158866882324226,2,Concluído,"[{""date"":""2025-11-12"",""type"":""completed"",""status"":""Concluído"",""observation"":""Roçagem concluída""}]",,,2025-12-27,2025-11-12,false,1,rocagem,,2025-11-15T13:12:01.150Z
762,,,Roçagem,av. adhemar pereira de barros,varios,9901.86,-23.3318583,-51.1654323,2,Pendente,"[]",,,2025-11-06,,false,1,rocagem,,
704,,,Roçagem,rua emilio vizentin / rua joão vicente martins,port. de versalhes,4905.25,-23.3171243,-51.1951868,2,Pendente,"[]",,,2025-11-06,,false,1,rocagem,,
817,,,Roçagem,rua alcino francisco da silva (q-15 l-41) c/ rua renato fabretti,universidade,351.08,-23.3307979,-51.216742,2,Pendente,"[]",,,2025-11-06,,false,1,rocagem,,
800,,,Roçagem,rua olympio theodoro / norberto kemmer / rua josé piloto,colinas,5370.71,-23.3276437,-51.2226143,2,Pendente,"[]",,,2025-11-06,,false,1,rocagem,,
753,,,Roçagem,rua shangai c/ rua tibet,claudia,166.7,-23.338528,-51.1714166,2,Pendente,"[]",,,2025-11-06,,false,1,rocagem,,
771,,,Roçagem,rua samuel wainer - funcinarios até final da rua,tucano,192.1,-23.348603,-51.1535667,2,Pendente,"[]",,,2025-11-06,,false,1,rocagem,,
795,,,Roçagem,rua adelina piqueti barrios entre as ruas da ginastica olimpica e severino beba rolin,maracana,4638.86,-23.3242533,-51.2231843,2,Pendente,"[]",,,2025-11-06,,false,1,rocagem,,
56,,,Roçagem,ramiro marigo c/ jair p. batista,michel lichia,1346,-23.27864,-51.1592592,1,Pendente,"[]",,,2025-12-18,2025-11-03,false,1,rocagem,,
46,,,Roçagem,deoclecio jose da rosa,tropical a,1040.56,-23.2787541,-51.1491616,1,Concluído,"[{""date"":""2025-11-04"",""type"":""completed"",""status"":""Concluído"",""observation"":""Roçagem concluída""}]",,,2025-12-19,2025-11-04,false,1,rocagem,,2025-11-13T18:46:55.203Z
58,,,Roçagem,jair pereira batista,michael licha,4871.45,-23.27864,-51.1592592,1,Pendente,"[]",,,2025-12-18,2025-11-03,false,1,rocagem,,
927,,,Roçagem,ruas francisco a. galhardi / dep. agnaldo p. lima / vitório zanoni / cabo luís budziak,roseira,7205.56,-23.3559601,-51.1404669,2,Concluído,"[{""date"":""2025-11-03"",""type"":""completed"",""status"":""Concluído"",""observation"":""Roçagem concluída""}]",,,2025-12-18,2025-11-03,false,1,rocagem,,2025-11-06T01:27:42.200Z
45,,,Roçagem,dr juvenal egger filho,farid libos,428.25,-23.27446554043209,-51.195602416992195,1,Concluído,"[{""date"":""2025-11-04"",""type"":""completed"",""status"":""Concluído"",""observation"":""Roçagem concluída""}]",,,2025-12-19,2025-11-04,false,1,rocagem,,2025-11-13T18:52:01.814Z
223,,,Roçagem,giocondo maturi,maria celina,5287.73,-23.2665921,-51.1995591,1,Concluído,"[{""date"":""2025-10-01"",""type"":""completed"",""status"":""Concluído"",""observation"":""Roçagem concluída""},{""date"":""2025-11-14"",""type"":""completed"",""status"":""Concluído"",""observation"":""Roçagem concluída""}]",,,2025-12-29,2025-11-14,false,1,rocagem,,2025-11-14T19:01:04.776Z
61,,,Roçagem,joão baptista da silva c/ claudir m. rossi,michael licha,162.31,-23.2804027,-51.1607961,1,Pendente,"[]",,,2025-12-18,2025-11-03,false,1,rocagem,,
738,,,Roçagem,rua das grevileas c/ rua das açucenas (02 areas),colina verde,5278.21,-23.3216325,-51.1873462,2,Concluído,"[{""date"":""2025-09-30"",""type"":""completed"",""status"":""Concluído"",""observation"":""Roçagem concluída""}]",,,2025-11-14,2025-09-30,false,1,rocagem,,2025-11-06T12:08:45.914Z
518,,,Roçagem,linha ferrea dois lados até av a imperial,milton gavetti,16492.56,-23.278348649700146,-51.15326642990113,1,Concluído,"[{""date"":""2025-10-15"",""type"":""completed"",""status"":""Concluído"",""observation"":""Roçagem concluída""},{""date"":""2025-11-19"",""type"":""completed"",""status"":""Concluído"",""observation"":""Roçagem concluída""}]",,,2026-01-03,2025-11-19,false,1,rocagem,,2025-11-19T12:14:40.246Z
353,,,Roçagem,francisco ruiz f. assis,luiz de sá,27713.26,-23.250770208513956,-51.14015579223633,1,Concluído,"[{""date"":""2025-10-08"",""type"":""completed"",""status"":""Concluído"",""observation"":""Roçagem concluída""}]",,,2025-11-22,2025-10-08,false,1,rocagem,,2025-11-06T13:24:16.075Z
696,,,Roçagem,rua juhei muramoto c/ rudolph diesel,tokio,5296.12,-23.309103998361728,-51.19553804397584,2,Pendente,"[]",,,2025-11-06,,false,1,rocagem,,
749,,,Roçagem,rua josé giroldo c/ rua cayena ( 04 áreas ),arco iris,1300,-23.3326253,-51.1732022,2,Concluído,"[{""date"":""2025-09-30"",""type"":""completed"",""status"":""Concluído"",""observation"":""Roçagem concluída""}]",,,2025-11-14,2025-09-30,false,1,rocagem,,2025-11-06T14:36:24.588Z
919,,,Roçagem,firmino l. de oliveira c/ palotina (praça e campo),pq. das indutrias,12292.56,-23.36673263747186,-51.13671183586121,2,Concluído,"[{""date"":""2025-10-30"",""type"":""completed"",""status"":""Concluído"",""observation"":""Roçagem concluída""}]",,,2025-12-14,2025-10-30,false,1,rocagem,,2025-11-06T01:04:18.593Z
1026,,,Roçagem,nereu mendes c/ maurilio mazzer / maria a. miranda (academia ar livre),monte sinai,4246.27,-23.326419,-51.1163662,2,Concluído,"[{""date"":""2025-10-06"",""type"":""completed"",""status"":""Concluído"",""observation"":""Roçagem concluída""},{""date"":""2025-11-06"",""type"":""completed"",""status"":""Concluído"",""observation"":""Roçagem concluída""}]",,,2025-12-21,2025-11-06,false,1,rocagem,,2025-11-15T13:36:06.939Z
725,,,Roçagem,humaita entre monte castelo e montese (03 areas),higienopolis,1743.03,-23.32198641521256,-51.16951525211335,2,Concluído,"[{""date"":""2025-09-29"",""type"":""completed"",""status"":""Concluído"",""observation"":""Roçagem concluída""}]",,,2025-11-13,2025-09-29,false,1,rocagem,,2025-11-06T11:42:25.145Z
59,,,Roçagem,joão baptista da silva,michael licha,3738.54,-23.2804027,-51.1607961,1,Pendente,"[]",,,2025-12-18,2025-11-03,false,1,rocagem,,
833,,,Roçagem,av. octavio genta + praça atrás da fac. pitagoras,terras de davi,9362.47,-23.347890332089946,-51.17667675018311,2,Pendente,"[]",,,2025-11-06,,false,1,rocagem,,
1062,,,Roçagem,gabriel matokanovic c/ ruth ferreira de souza,da luz,2938.02,-23.316868082419706,-51.112765073776245,2,Concluído,"[{""date"":""2025-11-04"",""type"":""completed"",""status"":""Concluído"",""observation"":""Roçagem concluída""},{""date"":""2025-10-02"",""type"":""completed"",""status"":""Concluído"",""observation"":""Roçagem concluída""},{""date"":""2025-11-04"",""type"":""completed"",""status"":""Concluído"",""observation"":""Roçagem concluída""}]",,,2025-12-19,2025-11-04,false,1,rocagem,,2025-11-15T14:16:42.297Z
715,,,Roçagem,virgilio jorge / nilson ribas/ olavo bilac ( 03 áreas ),champagnat,887.6,-23.30986269153652,-51.187115907669074,2,Pendente,"[]",,,2025-11-06,,false,1,rocagem,,
844,,,Roçagem,rua maria vidal da silva ao lado do terminal acapulco,acapulco,468.11,-23.382283156361375,-51.14273071289063,2,Pendente,"[]",,,2025-11-06,,false,1,rocagem,,
849,,,Roçagem,rua cornelio pires c/ rua minervino l. de oliveira (02 areas),cafezal,2225.69,-23.3724998,-51.1602704,2,Pendente,"[]",,,2025-11-06,,false,1,rocagem,,
851,,,Roçagem,rua nicolau barra rosa c/ rua joaquim pereira,cafezal,2501.06,-23.373888,-51.1602373,2,Pendente,"[]",,,2025-11-06,,false,1,rocagem,,
877,,,Roçagem,rua jose o. figueiredo c/ gilney c. leal (acesso viaduto) 02 lados,jamile dequech,2798.71,-23.3197305,-51.1662008,2,Pendente,"[]",,,2025-11-06,,false,1,rocagem,,
909,,,Roçagem,- rua carlos mantova c/ francisco boer,são lourenço,1478.08,-23.3701736,-51.127481,2,Pendente,"[]",,,2025-11-06,,false,1,rocagem,,
900,,,Roçagem,elisa michelete vicente,nova esperança,1346.57,-23.3927584,-51.1130546,2,Pendente,"[]",,,2025-11-06,,false,1,rocagem,,
889,,,Roçagem,rua elson pedro dos santos com adelina faria de menezes e rua dos almoxarifes,uniao da vitoria,1678.51,-23.3885585,-51.1298862,2,Pendente,"[]",,,2025-11-06,,false,1,rocagem,,
960,,,Roçagem,av. albania e portugal,igapo,2624.15,-23.3400249,-51.1485513,2,Pendente,"[]",,,2025-11-06,,false,1,rocagem,,
1100,,,Roçagem,rua elvira bruggin entre as ruas joão de oliviera neto e henriqueta tubman,jd. oriente,443.11,-23.3173931,-51.1395297,2,Pendente,"[]",,,2025-11-06,,false,1,rocagem,,
963,,,Roçagem,grecia c/ dinamarca,igapo,2663.61,-23.341927,-51.1482904,2,Pendente,"[]",,,2025-11-06,,false,1,rocagem,,
978,,,Roçagem,rua guilherme negro / rua aristides l. da fonseca / rua antonio luciano,nova conquista,14726.66,-23.3369414,-51.1413519,2,Pendente,"[]",,,2025-11-06,,false,1,rocagem,,
806,,,Roçagem,madre teresa de calcuta c/ jose olavo leles (academia ao ar livre),joao turquino,1648.17,-23.3197305,-51.1662008,2,Pendente,"[]",,,2025-11-06,,false,1,rocagem,,
821,,,Roçagem,av. est. armarinho paulista e av. gil de abreu(fte condominio),jd. universidade,5864.36,-23.3449975,-51.225541,2,Pendente,"[]",,,2025-11-06,,false,1,rocagem,,
970,,,Roçagem,rua paquistao c/ av. estados unidos,igapo,2051.37,-23.3444821,-51.1494835,2,Pendente,"[]",,,2025-11-06,,false,1,rocagem,,
1112,,,Roçagem,rua afonso pena c/ rua general osório,dist. são luiz,741.69,-23.3133784,-51.1847367,2,Pendente,"[]",,,2025-11-06,,false,1,rocagem,,
1113,,,Roçagem,rua da graça c/ rua salvador gomes,dist. guaravera,7054.13,-23.6112606,-51.1836254,2,Pendente,"[]",,,2025-11-06,,false,1,rocagem,,
1124,,,Roçagem,rod. benedito bento dos santos,dist. irerê,9715.22,-23.3197305,-51.1662008,2,Pendente,"[]",,,2025-11-06,,false,1,rocagem,,
710,,,Roçagem,rua armando balarotte (rotatoria da av. castelo branco até marginal pr-445),port. de versalhes,37682,-23.3204463,-51.1985185,2,Pendente,"[]",,,2025-11-06,,false,1,rocagem,,
1011,,,Roçagem,sonia maria m. garcia c/ leopoldo meyer,taruma,347.2,-23.3294928,-51.1254113,2,Concluído,"[{""date"":""2025-11-06"",""type"":""completed"",""status"":""Concluído"",""observation"":""Roçagem concluída""}]",,,2025-12-21,2025-11-06,false,1,rocagem,,2025-11-15T13:41:00.774Z
934,,,Roçagem,ruas edmundo gonçalves / alexandre sahyun / isabel c. dos santos / rua doze,neman sahyun,4812.7,-23.3581806,-51.1354323,2,Concluído,"[{""date"":""2025-11-03"",""type"":""completed"",""status"":""Concluído"",""observation"":""Roçagem concluída""}]",,,2025-12-18,2025-11-03,false,1,rocagem,,2025-11-06T01:29:44.738Z
1020,,,Roçagem,rua carlos merbach c/ rua harue tanaka,res. havana,562.54,-23.3322651,-51.1128192,2,Concluído,"[{""date"":""2025-11-06"",""type"":""completed"",""status"":""Concluído"",""observation"":""Roçagem concluída""}]",,,2025-12-21,2025-11-06,false,1,rocagem,,2025-11-15T13:48:18.115Z
1055,,,Roçagem,luiz generoso da silva e onofra moreira de moraes,do leste,719.74,-23.3180782,-51.1165092,2,Concluído,"[{""date"":""2025-11-06"",""type"":""completed"",""status"":""Concluído"",""observation"":""Roçagem concluída""}]",,,2025-12-21,2025-11-06,false,1,rocagem,,2025-11-15T13:33:28.800Z
1005,,,Roçagem,rua pero vaz de caminha c/ rua são sisto i,albatroz,160.72,-23.32949852935656,-51.13363265991212,2,Concluído,"[{""date"":""2025-11-17"",""type"":""completed"",""status"":""Concluído"",""observation"":""Roçagem concluída""}]",,,2026-01-01,2025-11-17,false,1,rocagem,,2025-11-18T15:16:30.797Z
1042,,,Roçagem,denilton dos santos c/ mario sergio carmagnani e maria antonia dias,guilherme pires,2981.89,-23.3259024,-51.1116184,2,Concluído,"[{""date"":""2025-10-03"",""type"":""completed"",""status"":""Concluído"",""observation"":""Roçagem concluída""},{""date"":""2025-11-06"",""type"":""completed"",""status"":""Concluído"",""observation"":""Roçagem concluída""}]",,,2025-12-21,2025-11-06,false,1,rocagem,,2025-11-15T13:27:11.134Z
1030,,,Roçagem,anna gomes rosin c/ ermelino nonino,vale do cedro,1231.62,-23.3197305,-51.1662008,2,Concluído,"[{""date"":""2025-10-06"",""type"":""completed"",""status"":""Concluído"",""observation"":""Roçagem concluída""},{""date"":""2025-11-06"",""type"":""completed"",""status"":""Concluído"",""observation"":""Roçagem concluída""}]",,,2025-12-21,2025-11-06,false,1,rocagem,,2025-11-15T13:38:27.595Z
1061,,,Roçagem,rua crescentino sisti / kazuo tsuchiya / abílio joão de medeiros,jd. tenerife,7646.78,-23.32826,-51.1023614,2,Concluído,"[{""date"":""2025-10-03"",""type"":""completed"",""status"":""Concluído"",""observation"":""Roçagem concluída""}]",,,2025-11-17,2025-10-03,false,1,rocagem,,2025-11-06T16:12:19.090Z
948,,,Roçagem,rua andre galo c/ rua pedro batista de souza,são vicente,2616.34,-23.351574296942857,-51.14936113357545,2,Pendente,"[]",,,2025-11-06,,false,1,rocagem,,
933,,,Roçagem,cabo luiz budziak c/ salvatina m. rosa,piza,877.2,-23.3555223,-51.1399996,2,Concluído,"[{""date"":""2025-11-03"",""type"":""completed"",""status"":""Concluído"",""observation"":""Roçagem concluída""}]",,,2025-12-18,2025-11-03,false,1,rocagem,,2025-11-06T01:28:59.469Z
91,,,Roçagem,perobal,leonor,244.81,-23.2915165,-51.1952744,1,Concluído,"[{""date"":""2025-11-06"",""type"":""completed"",""status"":""Concluído"",""observation"":""Roçagem concluída""}]",,,2025-12-21,2025-11-06,false,1,rocagem,,2025-11-13T19:34:28.668Z
853,,,Roçagem,rua joaquim pereira c/ rua jose da silva paizano / rua jose b. ribeiro,cafezal,1026.19,-23.3714228,-51.1575182,2,Pendente,"[]",,,2025-11-06,,false,1,rocagem,,
1114,,,Roçagem,rua salvador gomes c/ rua anchieta,dist. guaravera,888.32,-23.2942069,-51.171848,2,Pendente,"[]",,,2025-11-06,,false,1,rocagem,,
